City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bredasdorp,ZA,-34.5322,20.0403,56.14,76,14,4.36,few clouds
79,Jacqueville,CI,5.2052,-4.4146,82.15,83,90,13.11,overcast clouds
80,Knysna,ZA,-34.0363,23.0471,55.63,79,51,4.18,broken clouds
81,Guadix,ES,37.2993,-3.1392,51.46,60,0,2.66,clear sky
82,Nikolskoye,RU,59.7035,30.7861,41.81,100,100,5.66,overcast clouds
83,Ostrovnoy,RU,68.0531,39.5131,20.5,83,5,11.1,clear sky
84,Ponta Do Sol,PT,32.6667,-17.1,61.43,75,53,2.26,broken clouds
85,Ancud,CL,-41.8697,-73.8203,60.22,83,97,3.98,overcast clouds
86,Tupik,RU,54.4253,119.9327,16.18,99,99,1.86,overcast clouds
87,Palauig,PH,15.435,119.9045,79.11,78,100,4.29,overcast clouds
88,San Cristobal,VE,7.7669,-72.225,80.78,47,68,6.93,broken clouds
89,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,68,40,6.91,scattered clouds
90,Martil,MA,35.6166,-5.2752,58.96,67,0,10.36,clear sky
91,Kenai,US,60.5544,-151.2583,42.89,65,0,12.66,clear sky
92,Hobart,AU,-42.8794,147.3294,48.06,89,20,6.91,few clouds
93,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,83,40,5.75,scattered clouds
94,Dunedin,NZ,-45.8742,170.5036,57.79,57,100,14.0,overcast clouds
95,Ampanihy,MG,-24.7,44.75,74.26,89,73,4.09,broken clouds
96,Kuloy,RU,61.0305,42.4925,29.93,87,100,9.44,overcast clouds
97,Bay Roberts,CA,47.5999,-53.2648,37.06,83,100,5.99,overcast clouds
98,Kedrovyy,RU,56.1667,91.8167,30.87,97,63,5.26,broken clouds
99,Haines Junction,CA,60.7522,-137.5108,39.15,45,100,5.75,overcast clouds
100,Quelimane,MZ,-17.8786,36.8883,80.55,89,75,5.75,broken clouds
101,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,20,10.36,light rain
102,Birjand,IR,32.8663,59.2211,63.07,9,0,13.8,clear sky
103,Klaksvik,FO,62.2266,-6.589,34.72,69,100,32.41,light snow
104,Kavaratti,IN,10.5669,72.642,83.23,73,61,7.05,broken clouds
105,Thinadhoo,MV,0.5333,72.9333,82.33,69,8,4.47,clear sky
106,Vardo,NO,70.3705,31.1107,31.98,74,20,25.32,few clouds
107,Cherdyn,RU,60.403,56.4787,29.52,95,100,10.56,light snow
108,Pumiao,CN,22.75,108.4833,59.4,52,0,2.82,clear sky
109,Chapais,CA,49.7834,-74.8492,35.38,97,100,14.72,overcast clouds
110,Souillac,MU,-20.5167,57.5167,77.34,85,77,12.97,light rain
111,Thompson,CA,55.7435,-97.8558,42.96,28,20,5.75,few clouds
112,Severo-Kurilsk,RU,50.6789,156.125,30.54,79,100,4.54,overcast clouds
113,Mahanje,TZ,-9.9333,35.3333,63.99,96,5,3.38,clear sky
114,Port Hedland,AU,-20.3167,118.5667,78.85,89,0,3.44,clear sky
115,Monze,ZM,-16.2833,27.4833,68.0,82,79,1.74,broken clouds
116,Vila Velha,BR,-20.3297,-40.2925,80.55,80,75,8.05,broken clouds
117,Atherton,GB,53.5237,-2.4935,42.89,68,5,5.01,clear sky
118,Lerwick,GB,60.1545,-1.1494,37.4,64,94,21.7,overcast clouds
119,Hailar,CN,49.2,119.7,41.34,60,100,13.73,overcast clouds
120,Pucallpa,PE,-8.3791,-74.5539,87.84,62,40,5.75,scattered clouds
121,Port Alfred,ZA,-33.5906,26.891,55.18,82,40,4.0,scattered clouds
122,Kaitangata,NZ,-46.2817,169.8464,52.32,80,100,13.78,light rain
123,Kingman,US,35.1894,-114.053,77.54,7,0,10.36,clear sky
124,Mackenzie,CA,55.2999,-123.1698,41.22,81,100,2.3,overcast clouds
125,Jamestown,US,42.097,-79.2353,44.19,71,100,23.02,moderate rain
126,Palenque,MX,17.5167,-91.9667,87.96,66,40,23.02,scattered clouds
127,Talnakh,RU,69.4865,88.3972,4.57,100,100,3.76,overcast clouds
128,Vao,NC,-22.6667,167.4833,79.81,84,95,30.15,moderate rain
129,Upernavik,GL,72.7868,-56.1549,7.97,92,100,1.19,overcast clouds
130,Verdun,FR,49.25,5.3333,49.15,68,84,20.38,broken clouds
131,Sorland,NO,67.667,12.6934,36.77,57,18,13.0,few clouds
132,Husavik,IS,66.0449,-17.3389,26.38,83,100,3.51,overcast clouds
133,Longyearbyen,SJ,78.2186,15.6401,10.24,67,20,11.5,few clouds
134,Nizhniy Odes,RU,63.6445,54.856,11.23,97,87,3.53,overcast clouds
135,Ahipara,NZ,-35.1667,173.1667,63.23,73,88,7.65,overcast clouds
136,Atar,MR,20.5169,-13.0499,79.7,16,0,11.74,clear sky
137,Lebu,CL,-37.6167,-73.65,60.1,88,72,9.22,broken clouds
138,Bakau,GM,13.4781,-16.6819,72.59,71,58,11.99,broken clouds
139,Nouadhibou,MR,20.931,-17.0347,66.18,72,0,18.41,clear sky
140,Mount Gambier,AU,-37.8333,140.7667,52.56,96,1,5.84,clear sky
141,Hudson Bay,CA,52.85,-102.3842,35.35,85,100,4.68,overcast clouds
142,Ambon,ID,-3.6954,128.1814,80.74,78,40,8.05,scattered clouds
143,Muzhi,RU,65.3667,64.6667,8.1,96,100,6.55,overcast clouds
144,Alofi,NU,-19.0595,-169.9187,82.29,78,40,14.97,scattered clouds
145,Lata,PT,40.1629,-8.3327,57.81,77,100,3.36,overcast clouds
146,Zhigansk,RU,66.7697,123.3711,-13.94,100,100,6.11,overcast clouds
147,Saint-Philippe,RE,-21.3585,55.7679,74.79,86,57,13.96,light rain
148,Manta,EC,-0.95,-80.7333,80.38,78,20,10.36,few clouds
149,Palmer,US,42.1584,-72.3287,52.25,69,100,5.99,overcast clouds
150,Juneau,US,58.3019,-134.4197,45.99,95,75,21.85,broken clouds
151,Phangnga,TH,8.4509,98.5298,75.24,94,88,1.79,overcast clouds
152,Georgetown,MY,5.4112,100.3354,78.73,89,20,0.0,few clouds
153,Beloha,MG,-25.1667,45.05,73.83,91,22,2.46,few clouds
