City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2022-04-05 20:32:57,3.0707,172.7902,81.3,81,54,16.93
1,Tasiilaq,GL,2022-04-05 20:32:57,65.6145,-37.6368,24.96,95,45,5.88
2,Ushuaia,AR,2022-04-05 20:32:58,-54.8,-68.3,40.62,87,75,27.63
3,Atuona,PF,2022-04-05 20:32:58,-9.8,-139.0333,79.65,70,3,23.47
4,Vaini,TO,2022-04-05 20:32:58,-21.2,-175.2,80.76,78,40,0.0
5,Itoman,JP,2022-04-05 20:32:59,26.1247,127.6694,66.22,62,100,11.5
6,Ostrovnoy,RU,2022-04-05 20:32:59,68.0531,39.5131,24.87,87,100,13.85
7,Mataura,NZ,2022-04-05 20:32:59,-46.1927,168.8643,51.62,66,30,9.8
8,Sao Filipe,CV,2022-04-05 20:33:00,14.8961,-24.4956,71.29,73,6,9.62
9,Hermanus,ZA,2022-04-05 20:33:00,-34.4187,19.2345,59.81,80,1,13.91
10,Punta Arenas,CL,2022-04-05 20:32:24,-53.15,-70.9167,48.31,49,20,17.27
11,Hobart,AU,2022-04-05 20:29:05,-42.8794,147.3294,53.46,72,75,3.44
12,Saskylakh,RU,2022-04-05 20:33:01,71.9167,114.0833,-26.88,100,67,3.0
13,Vostok,RU,2022-04-05 20:29:05,46.4856,135.8833,21.27,83,100,13.56
14,Batemans Bay,AU,2022-04-05 20:30:15,-35.7167,150.1833,63.1,87,99,4.85
15,Chuy,UY,2022-04-05 20:33:02,-33.6971,-53.4616,63.79,52,0,8.34
16,Cape Town,ZA,2022-04-05 20:31:28,-33.9258,18.4232,59.88,86,40,9.22
17,Ulladulla,AU,2022-04-05 20:33:02,-35.35,150.4667,61.77,86,100,7.92
18,Rikitea,PF,2022-04-05 20:33:03,-23.1203,-134.9692,78.78,68,49,19.37
19,Busselton,AU,2022-04-05 20:33:03,-33.65,115.3333,54.91,77,9,8.16
20,Sehithwa,BW,2022-04-05 20:33:03,-20.4667,22.7167,77.92,50,92,1.63
21,Port Alfred,ZA,2022-04-05 20:33:04,-33.5906,26.891,63.61,77,5,9.24
22,Limulunga,ZM,2022-04-05 20:33:04,-15.0969,23.1376,69.6,85,76,4.74
23,Puerto Ayora,EC,2022-04-05 20:30:54,-0.7393,-90.3518,85.96,87,52,5.01
24,Port Lincoln,AU,2022-04-05 20:29:17,-34.7333,135.8667,60.1,80,10,13.82
25,Pangnirtung,CA,2022-04-05 20:33:05,66.1451,-65.7125,10.4,79,75,3.44
26,Jamestown,US,2022-04-05 20:32:25,42.097,-79.2353,63.18,28,0,9.22
27,Wenling,CN,2022-04-05 20:33:05,28.3669,121.36,56.59,79,100,3.29
28,Hithadhoo,MV,2022-04-05 20:33:06,-0.6,73.0833,82.65,66,54,4.27
29,Satka,RU,2022-04-05 20:33:06,55.0425,59.04,26.37,87,99,12.57
30,Yar-Sale,RU,2022-04-05 20:33:06,66.8333,70.8333,27.3,97,100,24.72
31,Osmena,PH,2022-04-05 20:33:07,10.5208,119.9258,82.2,78,100,16.13
32,Bima,ID,2022-04-05 20:33:07,-8.4667,118.7167,75.0,94,54,4.0
33,Pevek,RU,2022-04-05 20:33:08,69.7008,170.3133,-18.96,100,100,5.17
34,Mareeba,AU,2022-04-05 20:33:08,-17.0,145.4333,68.72,93,87,1.83
35,Monkey Bay,MW,2022-04-05 20:33:09,-14.0728,34.9201,76.26,77,72,3.65
36,Port Elizabeth,ZA,2022-04-05 20:33:09,-33.918,25.5701,64.69,74,0,19.57
37,Carnarvon,AU,2022-04-05 20:33:09,-24.8667,113.6333,71.67,78,0,9.22
38,High Level,CA,2022-04-05 20:33:10,58.5169,-117.136,41.11,48,20,9.22
39,Mahebourg,MU,2022-04-05 20:33:10,-20.4081,57.7,78.26,94,75,3.44
40,Kodiak,US,2022-04-05 20:33:10,57.79,-152.4072,38.71,56,0,9.22
41,Albany,US,2022-04-05 20:30:01,42.6001,-73.9662,59.63,44,95,5.17
42,Victoria,HK,2022-04-05 20:33:11,22.2855,114.1577,69.33,79,23,3.0
43,Pochutla,MX,2022-04-05 20:34:13,15.7432,-96.4661,88.83,40,0,12.19
44,Cabo San Lucas,MX,2022-04-05 20:30:46,22.8909,-109.9124,80.62,64,0,10.36
45,East London,ZA,2022-04-05 20:34:13,-33.0153,27.9116,66.58,76,68,7.34
46,Kurayoshi,JP,2022-04-05 20:34:14,35.4333,133.8167,50.52,56,91,5.48
47,Saint Anthony,US,2022-04-05 20:34:14,45.0205,-93.218,43.48,87,100,20.71
48,Aljezur,PT,2022-04-05 20:34:15,37.3191,-8.8033,50.43,89,100,7.83
49,Hilo,US,2022-04-05 20:31:46,19.7297,-155.09,76.24,88,75,5.75
50,Leningradskiy,RU,2022-04-05 20:34:15,69.3833,178.4167,-4.2,87,9,16.73
51,Ribeira Grande,PT,2022-04-05 20:30:44,38.5167,-28.7,63.0,77,20,8.05
52,Trujillo,PE,2022-04-05 20:34:16,-8.116,-79.03,69.76,83,75,10.36
53,Ponta Do Sol,PT,2022-04-05 20:34:16,32.6667,-17.1,60.01,64,43,7.85
54,Namibe,AO,2022-04-05 20:34:16,-15.1961,12.1522,70.21,82,8,7.81
55,Narsaq,GL,2022-04-05 20:34:17,60.9167,-46.05,41.22,82,26,2.89
56,Thompson,CA,2022-04-05 20:34:17,55.7435,-97.8558,35.76,75,75,12.66
57,Georgetown,MY,2022-04-05 20:34:17,5.4112,100.3354,78.73,93,40,3.44
58,Weligama,LK,2022-04-05 20:34:18,5.9667,80.4167,75.87,86,57,2.35
59,Lavrentiya,RU,2022-04-05 20:34:18,65.5833,-171.0,-0.83,82,14,6.04
60,Ribeirao Branco,BR,2022-04-05 20:34:19,-24.2208,-48.7656,67.57,99,49,4.14
61,Sestri Levante,IT,2022-04-05 20:34:19,44.2732,9.3968,53.64,81,0,4.0
62,Bluff,NZ,2022-04-05 20:34:19,-46.6,168.3333,54.34,69,96,33.2
63,Chokurdakh,RU,2022-04-05 20:34:20,70.6333,147.9167,-18.83,100,93,3.91
64,Dikson,RU,2022-04-05 20:34:20,73.5069,80.5464,3.87,78,97,16.37
65,Bathsheba,BB,2022-04-05 20:34:20,13.2167,-59.5167,83.01,61,20,8.05
66,Provideniya,RU,2022-04-05 20:34:21,64.3833,-173.3,6.91,67,20,6.78
67,Aklavik,CA,2022-04-05 20:34:21,68.2191,-135.0107,-2.2,55,20,9.22
68,Tautira,PF,2022-04-05 20:34:22,-17.7333,-149.15,82.09,79,42,22.88
69,Matata,NZ,2022-04-05 20:34:22,-37.8833,176.75,71.58,93,65,9.17
70,Khatanga,RU,2022-04-05 20:34:22,71.9667,102.5,-11.0,92,9,8.9
71,Constitucion,CL,2022-04-05 20:31:27,-35.3333,-72.4167,63.63,66,8,13.11
72,Farah,AF,2022-04-05 20:34:23,32.5,62.5,75.38,8,10,4.97
73,Severnoye,RU,2022-04-05 20:34:23,56.3491,78.3619,34.34,97,32,6.51
74,Kapaa,US,2022-04-05 20:34:23,22.0752,-159.319,78.78,93,100,16.11
75,Cap Malheureux,MU,2022-04-05 20:34:24,-19.9842,57.6142,78.48,88,99,5.01
76,Andenes,NO,2022-04-05 20:34:24,69.3143,16.1194,31.98,69,0,34.52
77,Mar Del Plata,AR,2022-04-05 20:34:24,-38.0023,-57.5575,75.22,31,0,16.11
78,Lata,PT,2022-04-05 20:34:25,40.1629,-8.3327,53.82,71,94,3.53
79,Aguia Branca,BR,2022-04-05 20:34:25,-18.9831,-40.7403,78.1,57,34,0.98
80,Aloleng,PH,2022-04-05 20:34:26,16.1307,119.7824,80.33,75,98,4.56
81,Prabumulih,ID,2022-04-05 20:34:26,-3.45,104.25,72.34,99,97,2.51
82,Coihaique,CL,2022-04-05 20:34:26,-45.5752,-72.0662,61.41,77,100,3.44
83,Bethel,US,2022-04-05 20:34:27,41.3712,-73.414,60.19,47,75,9.22
84,New Norfolk,AU,2022-04-05 20:34:27,-42.7826,147.0587,53.1,67,56,1.23
85,Bambous Virieux,MU,2022-04-05 20:34:27,-20.3428,57.7575,78.22,94,75,3.44
86,Salalah,OM,2022-04-05 20:29:51,17.0151,54.0924,78.89,83,40,2.3
87,Ouesso,CG,2022-04-05 20:35:28,1.6136,16.0517,66.97,97,100,1.3
88,North Bend,US,2022-04-05 20:35:28,43.4065,-124.2243,56.25,78,100,11.5
89,Acapulco,MX,2022-04-05 20:35:28,16.8634,-99.8901,80.42,74,0,16.11
90,Sept-Iles,CA,2022-04-05 20:32:30,50.2001,-66.3821,39.72,33,40,11.5
91,Brownwood,US,2022-04-05 20:35:29,31.7093,-98.9912,95.0,13,0,21.85
92,Kedrovoye,RU,2022-04-05 20:35:29,57.1576,60.5698,29.64,85,100,12.28
93,Samarai,PG,2022-04-05 20:35:30,-10.6167,150.6667,80.33,80,96,13.76
94,Bubaque,GW,2022-04-05 20:35:30,11.2833,-15.8333,75.58,76,0,23.73
95,Basco,PH,2022-04-05 20:35:30,20.4487,121.9702,74.53,74,100,21.05
96,Ust-Kuyga,RU,2022-04-05 20:35:31,70.0167,135.6,-24.12,100,99,0.22
97,Mehamn,NO,2022-04-05 20:35:31,71.0357,27.8492,30.15,64,75,16.11
98,Bilma,NE,2022-04-05 20:33:03,18.6853,12.9164,88.48,6,4,6.85
99,Avarua,CK,2022-04-05 20:35:31,-21.2078,-159.775,84.25,74,20,8.05
100,Mozelos,PT,2022-04-05 20:35:32,41.8677,-8.3978,56.82,61,80,4.07
101,Adoni,IN,2022-04-05 20:35:32,15.6333,77.2833,83.03,37,72,12.06
102,Norman Wells,CA,2022-04-05 20:35:33,65.282,-126.8329,3.24,51,0,3.44
103,Riohacha,CO,2022-04-05 20:35:33,11.5444,-72.9072,84.31,74,75,10.36
104,Zholymbet,KZ,2022-04-05 20:35:33,51.7433,71.7122,33.53,97,45,12.48
105,Naze,JP,2022-04-05 20:35:34,28.3667,129.4833,50.92,65,55,1.83
106,Bereznik,RU,2022-04-05 20:35:34,62.8551,42.7072,28.6,93,100,9.48
107,Barrow,US,2022-04-05 20:35:34,71.2906,-156.7887,-16.58,76,100,4.61
108,Chicama,PE,2022-04-05 20:35:35,-7.8447,-79.1469,68.54,62,15,10.67
109,Youghal,IE,2022-04-05 20:35:35,51.95,-7.8506,51.1,100,100,20.13
110,Bredasdorp,ZA,2022-04-05 20:35:35,-34.5322,20.0403,59.99,71,0,13.67
111,Awjilah,LY,2022-04-05 20:35:36,29.1081,21.2869,88.16,8,85,7.07
112,Fortuna,US,2022-04-05 20:35:36,40.5982,-124.1573,56.93,64,0,13.8
113,Burnie,AU,2022-04-05 20:32:27,-41.0667,145.9167,53.15,78,100,11.83
114,Fort Walton Beach,US,2022-04-05 20:30:39,30.4058,-86.6188,66.22,94,100,13.8
115,Arraial Do Cabo,BR,2022-04-05 20:35:37,-22.9661,-42.0278,76.96,88,75,13.8
116,Tiksi,RU,2022-04-05 20:35:37,71.6872,128.8694,-17.75,100,100,2.19
117,Ekhabi,RU,2022-04-05 20:35:38,53.5102,142.9671,31.41,93,100,16.11
118,Hambantota,LK,2022-04-05 20:35:38,6.1241,81.1185,77.22,84,41,4.43
119,Mugur-Aksy,RU,2022-04-05 20:35:38,50.35,90.5,29.17,52,50,6.26
120,Hami,CN,2022-04-05 20:35:39,42.8,93.45,60.17,18,0,9.1
121,Caravelas,BR,2022-04-05 20:35:39,-17.7125,-39.2481,78.24,79,3,5.01
122,Rocha,UY,2022-04-05 20:35:39,-34.4833,-54.3333,65.93,43,0,5.59
123,Atar,MR,2022-04-05 20:35:40,20.5169,-13.0499,79.84,22,4,6.33
124,Mogadishu,SO,2022-04-05 20:35:40,2.0371,45.3438,80.91,76,42,15.19
125,Lahij,YE,2022-04-05 20:35:41,13.1667,44.5833,78.64,34,0,5.32
126,Katangli,RU,2022-04-05 20:35:41,51.7102,143.2326,32.11,84,100,19.33
127,Launceston,AU,2022-04-05 20:31:55,-41.45,147.1667,53.35,67,100,13.8
128,San Cristobal,VE,2022-04-05 20:35:41,7.7669,-72.225,80.78,49,75,4.27
129,Menongue,AO,2022-04-05 20:35:42,-14.6585,17.691,67.39,73,86,1.66
130,Fuerte Olimpo,PY,2022-04-05 20:35:42,-21.0415,-57.8738,90.97,39,99,2.15
131,Sena Madureira,BR,2022-04-05 20:35:43,-9.0656,-68.6569,84.88,68,100,2.01
132,Challapata,BO,2022-04-05 20:36:43,-18.9,-66.7667,56.95,47,75,7.94
133,Cockburn Town,TC,2022-04-05 20:36:43,21.4612,-71.1419,78.73,72,0,15.19
134,Whitehaven,GB,2022-04-05 20:36:44,54.549,-3.5841,47.66,97,100,10.0
135,San Quintin,MX,2022-04-05 20:36:44,30.4833,-115.95,66.83,68,1,8.61
136,Mulchen,CL,2022-04-05 20:36:44,-37.7167,-72.2333,78.66,36,40,5.86
137,Hohhot,CN,2022-04-05 20:36:45,40.8106,111.6522,41.29,38,0,6.71
138,Bloomfield,US,2022-04-05 20:33:34,40.8068,-74.1854,59.41,43,0,12.66
139,Manggar,ID,2022-04-05 20:36:45,-2.8833,108.2667,77.11,84,40,5.01
140,Erenhot,CN,2022-04-05 20:36:46,43.6475,111.9767,36.68,26,9,5.73
141,Asau,RO,2022-04-05 20:36:46,46.4333,26.4,45.52,73,99,5.23
142,Taltal,CL,2022-04-05 20:36:46,-25.4,-70.4833,71.08,57,46,5.61
143,Amsterdam,NL,2022-04-05 20:34:31,52.374,4.8897,51.89,82,75,14.97
144,Thinadhoo,MV,2022-04-05 20:36:47,0.5333,72.9333,82.22,73,13,4.25
145,Hay River,CA,2022-04-05 20:36:47,60.8156,-115.7999,28.38,69,20,8.05
146,Saldanha,ZA,2022-04-05 20:36:48,-33.0117,17.9442,60.85,77,0,8.37
147,Sturgeon Bay,US,2022-04-05 20:32:30,44.8342,-87.377,39.6,93,100,8.05
148,Tuktoyaktuk,CA,2022-04-05 20:36:48,69.4541,-133.0374,-9.4,70,40,9.22
149,Saint-Philippe,RE,2022-04-05 20:36:48,-21.3585,55.7679,78.39,87,58,10.2
150,Te Anau,NZ,2022-04-05 20:36:49,-45.4167,167.7167,50.11,76,35,5.41
151,Kruisfontein,ZA,2022-04-05 20:36:49,-34.0033,24.7314,61.88,72,6,16.28
152,Farafangana,MG,2022-04-05 20:36:49,-22.8167,47.8333,75.58,91,19,4.92
153,Esperance,AU,2022-04-05 20:36:50,-33.8667,121.9,60.64,74,90,6.82
154,Saint-Paul,RE,2022-04-05 20:36:50,-21.0096,55.2707,78.91,86,61,0.81
155,Chapais,CA,2022-04-05 20:32:46,49.7834,-74.8492,37.18,57,60,3.36
156,Djambala,CG,2022-04-05 20:36:51,-2.5447,14.7533,68.94,85,100,2.17
